fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,year,presMax,horaPresMax,presMin,horaPresMin,sol
2023-07-15,6172X,MÁLAGA,MALAGA,25,"28,5","0,0","24,4",04:10,"32,6",21:37,15,"2,5","7,2",18:40,66,87,03:10,37,21:40,2023,,,,,
2023-07-16,6172X,MÁLAGA,MALAGA,25,"29,8","0,0","26,2",23:28,"33,5",09:40,33,"2,2","7,5",07:20,49,83,23:40,32,09:40,2023,,,,,
2023-07-17,6172X,MÁLAGA,MALAGA,25,"27,4","0,0","24,9",04:29,"30,0",16:32,24,"1,9","5,3",12:50,77,88,Varias,64,01:40,2023,,,,,
2023-07-18,6172X,MÁLAGA,MALAGA,25,"28,5","0,0","25,9",23:54,"31,1",12:18,04,"2,5","7,8",02:20,69,87,23:50,63,04:00,2023,,,,,
2023-07-19,6172X,MÁLAGA,MALAGA,25,"30,9","0,0","25,4",04:16,"36,4",16:35,16,"2,5","8,3",15:00,52,88,00:30,35,Varias,2023,,,,,
2023-07-20,6172X,MÁLAGA,MALAGA,25,"31,4","0,0","26,8",20:21,"36,1",08:03,02,"2,5","8,6",23:30,44,73,00:20,17,21:20,2023,,,,,
2023-07-21,6172X,MÁLAGA,MALAGA,25,"30,1","0,0","24,2",12:37,"36,0",11:00,27,"4,7","14,7",12:20,50,69,12:40,16,10:50,2023,,,,,
2023-07-22,6172X,MÁLAGA,MALAGA,25,"27,2","0,0","23,6",09:52,"30,9",00:12,21,"2,2","8,3",14:00,63,83,19:20,25,00:10,2023,,,,,
2023-07-23,6172X,MÁLAGA,MALAGA,25,"27,2","0,0","24,6",23:59,"29,7",15:00,14,"1,4","5,0",07:30,70,85,23:50,56,06:30,2023,,,,,
2023-07-24,6172X,MÁLAGA,MALAGA,25,"31,4","0,0","23,9",02:02,"38,9",16:15,01,"4,4","12,2",11:20,24,89,04:30,15,18:00,2023,,,,,
2023-07-25,6172X,MÁLAGA,MALAGA,25,"28,8","0,0","23,5",20:41,"34,2",11:15,26,"4,4","13,1",12:00,46,65,20:40,22,22:10,2023,,,,,
2023-07-26,6172X,MÁLAGA,MALAGA,25,"25,8","0,0","21,5",04:42,"30,1",00:01,20,"2,5","8,3",09:50,61,79,Varias,25,00:00,2023,,,,,
2023-07-27,6172X,MÁLAGA,MALAGA,25,"24,9","0,0","21,0",23:52,"28,8",08:11,18,"1,7","4,2",23:10,67,83,03:20,62,16:20,2023,,,,,
